name_sv,name_en,description_sv,description_en,lat,long,type_sv,type_en,link
CommuniTree Carbon Program,CommuniTree Carbon Program,Nicaragua - Plan Vivo,Nicaragua - Plan Vivo,11.787498,-85.052101,Binda,Remove,https://zeromission.se/projects/communitree-carbon-programme-nicaragua-plan-vivo/
Paskaia,Paskaia,Honduras - Plan Vivo,Honduras - Plan Vivo,15.10590669,-84.37989716,Binda,Remove,https://zeromission.se/projects/paskaia-aterbeskogning-i-mosquitia-honduras-plan-vivo/
Upper Tana,Upper Tana,Kenya - Plan Vivo,Kenya - Plan Vivo,-0.6829041743,37.20083684,Binda,Remove,https://zeromission.se/projects/upper-tana-kenya-plan-vivo/
Gula Gula Food Forest Program,Gula Gula Food Forest Program,Västra Sumatra - Plan Vivo,West Sumatra - Plan Vivo,-0.7119427305,100.5715119,Binda,Remove,https://zeromission.se/projects/gula-gula-vastra-sumatra-plan-vivo/
Trees for Global Benefits,Trees for Global Benefits,Uganda - Plan Vivo,Uganda - Plan Vivo,1.211970461,31.01845109,Binda,Remove,https://zeromission.se/projects/trees-for-global-benefit-uganda-plan-vivo/
Trädet som växer - Scolel’te,Trees that Grow - Scolel’te,Mexiko - Plan Vivo,Mexico - Plan Vivo,16.50484507,-91.11030427,Binda,Remove,https://zeromission.se/projects/tradet-som-vaxer-mexiko-plan-vivo/
Halo Verde,Halo Verde,Östtimor - Plan Vivo,Timor Leste - Plan Vivo,-8.732274528,125.8756632,Binda,Remove,https://zeromission.se/projects/halo-verde-osttimor-plan-vivo/
Hållbara betesmarker,Sustainable Pastures,Mongoliet - Plan Vivo,Mongolia - Plan Vivo,47.46485884,104.8077917,Binda,Remove,https://zeromission.se/projects/hallbara-betesmarker-i-mongoliet-plan-vivo/
REDD+ Nakau Drawa,REDD+ Nakau Drawa,Fiji - Plan Vivo,Fiji - Plan Vivo,-16.71201619,179.0283424,Forebygga,Prevent,https://zeromission.se/projects/redd-nakau-pacific-islands-plan-vivo/
REDD+ Nakau Loru,REDD+ Nakau Loru,Vanuatu - Plan Vivo,Vanuatu - Plan Vivo,-15.2140343,167.1615379,Forebygga,Prevent,https://zeromission.se/projects/redd-nakau-loru-vanuatu-plan-vivo/
Mikoko Pamoja Mangrove,Mikoko Pamoja Mangrove,Kenya - Plan Vivo,Kenya - Plan Vivo,-4.406874599,39.51540566,Forebygga,Prevent,https://zeromission.se/projects/mikoko-pamoja-mangrove-kenya-plan-vivo/
Yaeda-Eyasi Landscape REDD,Yaeda-Eyasi Landscape REDD,Tanzania - Plan Vivo,Tanzania - Plan Vivo,-3.68583582,35.27216629,Forebygga,Prevent,https://zeromission.se/projects/redd-yaeda-eyasi-tanzania-plan-vivo/
REDD+ Khasi Hills,REDD+ Khasi Hills,Indien - Plan Vivo,India - Plan Vivo,25.38159322,91.69292411,Forebygga,Prevent,https://zeromission.se/projects/redd-khasi-hills-indien-plan-vivo/
Vanga Blue Forest Mangrove,Vanga Blue Forest Mangrove,Kenya - Plan Vivo,Kenya - Plan Vivo,-4.658652845,39.22120787,Forebygga,Prevent,https://zeromission.se/projects/vanga-blue-forest-mangrove-kenya-plan-vivo/
Effektiva spisar med digital teknik,Efficient Cookstoves with Digital Connectivity,Zambia - Emerging Cooking Solutions,Zambia - Emerging Cooking Solutions,-15.38626811,28.3218391,Minska,Reduce,https://zeromission.se/projects/emerging-cookstoves/
Effektiva spisar,Efficient Cookstoves,Indien - Fairtrade Climate Standard,India - Fairtrade Climate Standard,16.2166876,77.35621683,Minska,Reduce,https://zeromission.se/projects/effektiva-spisar-fairtrade-climate-standard-gold-standard/
"Solvatten, rent och varmt vatten","Solvatten, Clean and Warm Water",Uganda - Gold Standard,Uganda - Gold Standard,1.278053087,31.4921008,Minska,Reduce,https://zeromission.se/projects/solvatten-uganda-gold-standard/
Bagepalli biogas,Bagepalli Biogas,Indien - Fairtrade Climate Standard,India - Fairtrade Climate Standard,13.43578826,77.73149896,Minska,Reduce,https://zeromission.se/projects/bagepalli-biogas-indien-fairtrade-climate-standard/
Effektiva spisar till kaffeproducenter,Efficient Cookstoves for Coffee Producers,Ethiopien - Fairtrade Climate Standard,Ethiopia - Fairtrade Climate Standard,8.830176733,38.84382572,Minska,Reduce,https://zeromission.se/projects/effektiva-spisar-ethiopia-fair-climate-standard/
Rent dricksvatten till skolor och hushåll,Clean Drinking Water for Schools and Households,Uganda - Gold Standard,Uganda - Gold Standard,1.230507,32.156315,Minska,Reduce,https://zeromission.se/projects/rent-dricksvatten-till-skolor-och-hushall-i-uganda/
Effektiva spisar med lånegrupper,Efficient Cookstoves with Micro Finance Groups,Kenya - Gold Standard,Kenya - Gold Standard,-1.146651,36.960687,Minska,Reduce,https://zeromission.se/projects/effektiva-spisar-med-lanegrupper-kenya-gold-standard/
Effektiva spisar,Efficient Cookstoves,Madagaskar - Gold Standard,Madagascar - Gold Standard,-18.92009405,47.52348393,Minska,Reduce,https://zeromission.se/projects/spisar-pa-madagaskar-gold-standard/
Biogas i Indonesian,Indonesia Biogas Program,Indonesien - Gold Standard,Indonesia - Gold Standard,-7.25043435,112.768448,Minska,Reduce,https://zeromission.se/projects/biogas-i-indonesien-gold-standard/
Biogas i Indien,India Biogas Program,Indien - Gold Standard,India - Gold Standard,17.33080777,76.83410303,Minska,Reduce,https://zeromission.se/projects/biogas-i-indien-gold-standard/
